"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","X.1","Hospital_Cumulative","IC_Intake_Proven_Cumsum","ic_intake_nice"
2020-11-19,7,12,9,1,575,76,5201,1632,1369,2839,319,19,10,3108,120,NA,23408,4882,25
2020-11-20,15,15,7,1,567,76,5240,1578,1382,2866,323,30,8,3104,122,NA,23586,4916,39
2020-11-21,13,13,7,0,564,76,5271,1524,1393,2886,327,26,7,3098,125,NA,23687,4940,31
2020-11-22,12,16,9,1,556,76,5292,1522,1404,2894,333,28,10,3111,124,NA,23800,4962,21
2020-11-23,15,5,5,1,556,76,5316,1560,1422,2908,330,20,6,3113,123,NA,23969,4983,24
2020-11-24,16,21,9,1,542,76,5347,1570,1441,2938,323,37,10,3142,122,NA,24205,5013,31
2020-11-25,7,14,14,0,548,76,5380,1545,1453,2959,319,21,14,3137,123,NA,24319,5045,33
2020-11-26,20,14,9,0,544,76,5417,1519,1470,2993,310,34,9,3150,122,NA,24442,5083,37
2020-11-27,11,13,3,0,540,76,5445,1542,1482,3015,306,24,3,3175,122,NA,24619,5109,28
2020-11-28,10,11,5,1,528,76,5465,1504,1489,3034,303,21,6,3181,123,NA,24735,5126,20
2020-11-29,9,12,7,0,518,76,5483,1463,1499,3047,310,21,7,3178,122,NA,24797,5143,18
2020-11-30,14,18,7,1,512,76,5509,1494,1513,3059,325,32,8,3185,120,NA,24916,5167,26
